key,group,name,category,subcategory,colour,hex_measured,pattern,material,formality,fit,season,in_stock,sizes_available,price_usd,sold_as,sold_as_price_usd,brand,product_url,image,description
nyoni-nathan-jacket,Suits,Midnight Navy Suit Jacket,outerwear,suit jacket,navy,#2B2E3A #262934 #2E313D,solid,wool,formal,slim,autumn winter spring,true,36US / 46EU | 38US / 48EU | 40US / 50EU | 42US / 52EU | 44US / 54EU | 46US / 56EU | 48US / 58EU,,Midnight Navy Three Piece Suit,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/nathan/,/collection/nyoni-nathan-jacket.webp,The three-piece suit built on the most authoritative colour in menswear. The Nyoni Midnight Navy Three Piece Suit delivers the complete construction statement of three-piece dressing in a deep midnight navy Super 200s wool — single breasted…
nyoni-nathan-trousers,Suits,Midnight Navy Suit Trousers,bottom,suit trousers,navy,#2B2E3A #262934 #2E313D,solid,wool,formal,,autumn winter spring,true,36US / 46EU | 38US / 48EU | 40US / 50EU | 42US / 52EU | 44US / 54EU | 46US / 56EU | 48US / 58EU,,Midnight Navy Three Piece Suit,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/nathan/,/collection/nyoni-nathan-trousers.webp,The three-piece suit built on the most authoritative colour in menswear. The Nyoni Midnight Navy Three Piece Suit delivers the complete construction statement of three-piece dressing in a deep midnight navy Super 200s wool — single breasted…
nyoni-nathan-vest,Suits,Midnight Navy Waistcoat,vest,waistcoat,navy,#2B2E3A #262934 #2E313D,solid,wool,formal,,autumn winter spring,true,36US / 46EU | 38US / 48EU | 40US / 50EU | 42US / 52EU | 44US / 54EU | 46US / 56EU | 48US / 58EU,,Midnight Navy Three Piece Suit,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/nathan/,/collection/nyoni-nathan-vest.webp,The three-piece suit built on the most authoritative colour in menswear. The Nyoni Midnight Navy Three Piece Suit delivers the complete construction statement of three-piece dressing in a deep midnight navy Super 200s wool — single breasted…
nyoni-grayson-jacket,Suits,Charcoal Suit Jacket,outerwear,suit jacket,charcoal,#3A3B3E #36393D #34363A,solid,wool,formal,slim,autumn winter spring,true,36US / 46EU | 38US / 48EU | 40US / 50EU | 42US / 52EU | 44US / 54EU | 46US / 56EU | 48US / 58EU,,Charcoal Three Piece Suit,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/grayson/,/collection/nyoni-grayson-jacket.webp,The three-piece suit that works everywhere and apologises to no one. The Nyoni Charcoal Three Piece Suit delivers the complete construction authority of three-piece dressing in deep charcoal Super 200s wool — single breasted notch lapel…
nyoni-grayson-trousers,Suits,Charcoal Suit Trousers,bottom,suit trousers,charcoal,#3A3B3E #36393D #34363A,solid,wool,formal,,autumn winter spring,true,36US / 46EU | 38US / 48EU | 40US / 50EU | 42US / 52EU | 44US / 54EU | 46US / 56EU | 48US / 58EU,,Charcoal Three Piece Suit,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/grayson/,/collection/nyoni-grayson-trousers.webp,The three-piece suit that works everywhere and apologises to no one. The Nyoni Charcoal Three Piece Suit delivers the complete construction authority of three-piece dressing in deep charcoal Super 200s wool — single breasted notch lapel…
nyoni-grayson-vest,Suits,Charcoal Waistcoat,vest,waistcoat,charcoal,#3A3B3E #36393D #34363A,solid,wool,formal,,autumn winter spring,true,36US / 46EU | 38US / 48EU | 40US / 50EU | 42US / 52EU | 44US / 54EU | 46US / 56EU | 48US / 58EU,,Charcoal Three Piece Suit,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/grayson/,/collection/nyoni-grayson-vest.webp,The three-piece suit that works everywhere and apologises to no one. The Nyoni Charcoal Three Piece Suit delivers the complete construction authority of three-piece dressing in deep charcoal Super 200s wool — single breasted notch lapel…
nyoni-evano-windowpane-jacket,Suits,Evano Windowpane Suit Jacket,outerwear,suit jacket,grey,#5A5B64 #555561 #53535C,windowpane,wool,formal,slim,autumn winter spring,true,44US / 54EU,,Evano Windowpane,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/evano-windowpane/,/collection/nyoni-evano-windowpane-jacket.webp,"Super 200s wool in a grey windowpane check, for the days a plain suit is too plain. The waistcoat makes it a wedding; without it, a Tuesday."
nyoni-evano-windowpane-trousers,Suits,Evano Windowpane Suit Trousers,bottom,suit trousers,grey,#5A5B64 #555561 #53535C,windowpane,wool,formal,,autumn winter spring,true,44US / 54EU,,Evano Windowpane,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/evano-windowpane/,/collection/nyoni-evano-windowpane-trousers.webp,"Super 200s wool in a grey windowpane check, for the days a plain suit is too plain. The waistcoat makes it a wedding; without it, a Tuesday."
nyoni-evano-windowpane-vest,Suits,Evano Windowpane Waistcoat,vest,waistcoat,grey,#5A5B64 #555561 #53535C,windowpane,wool,formal,,autumn winter spring,true,44US / 54EU,,Evano Windowpane,895,Nyoni Couture,https://nyonicouture.com/product/three-piece-suit/evano-windowpane/,/collection/nyoni-evano-windowpane-vest.webp,"Super 200s wool in a grey windowpane check, for the days a plain suit is too plain. The waistcoat makes it a wedding; without it, a Tuesday."
nyoni-opel-black-tux-jacket,Suits,Sovereign Black Double-Breasted Tuxedo Jacket,outerwear,suit jacket,black,#131215 #16151A #0E0D11,solid,wool,formal,slim,spring summer autumn winter,true,36US / 46EU | 38US / 48EU | 40US / 50EU | 42US / 52EU | 46US / 56EU | 48US / 58EU,,Sovereign Black Double-Breasted Tuxedo,895,Nyoni Couture,https://nyonicouture.com/product/tuxedo/opel-black-tux/,/collection/nyoni-opel-black-tux-jacket.webp,"No pattern, no distraction just structure. This double-breasted tuxedo leans entirely on the cut: a satin peak lapel, a six-button front, and a shoulder line built to hold its shape all night."
nyoni-opel-black-tux-trousers,Suits,Sovereign Black Double-Breasted Tuxedo Trousers,bottom,suit trousers,black,#131215 #16151A #0E0D11,solid,wool,formal,,spring summer autumn winter,true,36US / 46EU | 38US / 48EU | 40US / 50EU | 42US / 52EU | 46US / 56EU | 48US / 58EU,,Sovereign Black Double-Breasted Tuxedo,895,Nyoni Couture,https://nyonicouture.com/product/tuxedo/opel-black-tux/,/collection/nyoni-opel-black-tux-trousers.webp,"No pattern, no distraction just structure. This double-breasted tuxedo leans entirely on the cut: a satin peak lapel, a six-button front, and a shoulder line built to hold its shape all night."
nyoni-perseo-jacket,Suits,Dove Gray Herringbone Double Breast Suit Jacket,outerwear,suit jacket,grey,#747B83 #797D86 #6C737B,herringbone,wool,formal,slim,spring summer autumn winter,true,38US / 48EU | 40US / 50EU | 42US / 52EU | 44US / 54EU | 46US / 56EU | 50US / 60EU | 52US / 62EU,,Dove Gray Herringbone Double Breast Suit,985,Nyoni Couture,https://nyonicouture.com/product/double-breasted/perseo/,/collection/nyoni-perseo-jacket.webp,"The DB suit that belongs everywhere. The Nyoni Dove Gray Herringbone Double Breast Suit arrives in a clean mid silver-grey that delivers the double breasted silhouette at its most versatile — Super 110s–200s wool, wide peak lapels, a 6×2…"
nyoni-perseo-trousers,Suits,Dove Gray Herringbone Double Breast Suit Trousers,bottom,suit trousers,grey,#747B83 #797D86 #6C737B,herringbone,wool,formal,,spring summer autumn winter,true,38US / 48EU | 40US / 50EU | 42US / 52EU | 44US / 54EU | 46US / 56EU | 50US / 60EU | 52US / 62EU,,Dove Gray Herringbone Double Breast Suit,985,Nyoni Couture,https://nyonicouture.com/product/double-breasted/perseo/,/collection/nyoni-perseo-trousers.webp,"The DB suit that belongs everywhere. The Nyoni Dove Gray Herringbone Double Breast Suit arrives in a clean mid silver-grey that delivers the double breasted silhouette at its most versatile — Super 110s–200s wool, wide peak lapels, a 6×2…"
nyoni-navy-aztec-blazer,Blazers,Indigo Jacquard Tailored Blazer,outerwear,blazer,navy,#1D2B44 #222D44 #1B253B,jacquard,wool,smart-casual,slim,spring autumn winter,true,36US / 46EU | 38US / 48EU,495,,,Nyoni Couture,https://nyonicouture.com/product/blazers/navy-aztec-blazer/,/collection/nyoni-navy-aztec-blazer.webp,Texture is the new power move. The Nyoni Indigo Jacquard Tailored Blazer takes the authority of a navy blazer and elevates it with a rich tonal jacquard micro-check weave that catches the light and holds the eye.
nyoni-vicenzo,Blazers,Vicenzo Blazer,outerwear,blazer,grey,#6B6B6B #646463 #5C5C5B,melange,wool,smart-casual,slim,spring autumn winter,true,44US / 54EU,895,,,Nyoni Couture,https://nyonicouture.com/product/blazers/vicenzo/,/collection/nyoni-vicenzo.webp,A grey mélange odd jacket with enough texture to read as tailoring rather than a suit jacket gone astray. Takes the taupe or walnut trousers.
nyoni-james-blazer,Blazers,James Blazer,outerwear,blazer,grey,#6C7A7C #6A7474 #657274,glen plaid,wool,smart-casual,slim,spring autumn winter,true,46US / 56EU | 48US / 58EU,1095,,,Nyoni Couture,https://nyonicouture.com/product/blazers/james-blazer/,/collection/nyoni-james-blazer.webp,Grey-green glen check with a soft windowpane over it. The jacket for a town day that is not quite a suit day.
nyoni-thomson-blazer,Blazers,Thomson Blazer,outerwear,blazer,orange,#BC7C54 #C4845B #CA865C,solid,wool,smart-casual,slim,spring summer autumn winter,true,44US / 54EU | 46US / 56EU,1095,,,Nyoni Couture,https://nyonicouture.com/product/blazers/thomson-blazer/,/collection/nyoni-thomson-blazer.webp,"Burnt ochre in an open weave, cut unstructured. Summer, and the one piece in the capsule that answers a navy trouser with warmth."
nyoni-ivoire-blazer-2,Blazers,Ivoire Double-Breasted Blazer,outerwear,blazer,ivory,#EAE9E6 #E9E6E5 #E6EAE9,solid,wool,formal,slim,spring summer autumn winter,true,,495,,,Nyoni Couture,https://nyonicouture.com/product/blazers/ivoire-blazer-2/,/collection/nyoni-ivoire-blazer-2.webp,"Ivory, double breasted, peak lapel. It carries a black tie evening in summer and a wedding at any time of year."
nyoni-classic-side-adjuster-dress-pants,Trousers,Classic Side Adjuster Dress Pants,bottom,dress trousers,black,#161616 #1C1C1D #1E1F20,solid,wool,formal,,spring summer autumn winter,true,,195,,,Nyoni Couture,https://nyonicouture.com/product/trousers/nyoni-classic-side-adjuster-dress-pants/,/collection/nyoni-classic-side-adjuster-dress-pants.webp,"A timeless wardrobe essential, these Classic Black Side Adjuster Dress Pants are expertly tailored for the modern gentleman. Crafted from premium suiting fabric, they feature a sleek flat-front design with elegant side adjusters, creating a…"
nyoni-taupe-flat-front-tailored-dress-pants,Trousers,Taupe Flat Front Tailored Dress Pants,bottom,dress trousers,taupe,#A08E7E #9D8B7A #998576,solid,wool,formal,,spring summer autumn winter,true,,265,,,Nyoni Couture,https://nyonicouture.com/product/trousers/nyoni-taupe-flat-front-tailored-dress-pants/,/collection/nyoni-taupe-flat-front-tailored-dress-pants.webp,"Refined, versatile, and effortlessly sophisticated, these Taupe Flat Front Tailored Dress Pants are a timeless essential for every modern gentleman’s wardrobe."
nyoni-midnight-glen-plaid-pant,Trousers,Midnight Glen Plaid Pant,bottom,dress trousers,navy,#2D3244 #2E344B #333445,glen plaid,wool,formal,,spring summer autumn winter,true,32US / 40EU | 34US / 42EU,195,,,Nyoni Couture,https://nyonicouture.com/product/trousers/nyoni-midnight-glen-plaid-pant/,/collection/nyoni-midnight-glen-plaid-pant.webp,"Nyoni Midnight Glen Plaid Trousers feature a stylish plaid design with a comfortable fit, ideal for versatile wear in both formal and casual settings."
nyoni-walnut-tweed-pant,Trousers,Walnut Tweed Pant,bottom,dress trousers,brown,#735E4C #76614E #7A634E,solid,wool,formal,,spring summer autumn winter,true,,195,,,Nyoni Couture,https://nyonicouture.com/product/trousers/nyoni-walnut-tweed-pant/,/collection/nyoni-walnut-tweed-pant.webp,"Nyoni Walnut Tweed Pant combines luxurious tweed fabric with a classic design, offering a comfortable fit ideal for both formal and casual settings."
nyoni-black-satin-side-stripe-tuxedo-pants,Trousers,Black Satin Side Stripe Tuxedo Pants,bottom,dress trousers,black,#15151B #1B1C24 #1E1E29,stripe,wool,formal,,spring summer autumn winter,true,,225,,,Nyoni Couture,https://nyonicouture.com/product/trousers/nyoni-black-satin-side-stripe-tuxedo-pants/,/collection/nyoni-black-satin-side-stripe-tuxedo-pants.webp,"Complete your formal look with these Black Satin Side Stripe Tuxedo Pants , expertly tailored for timeless sophistication. Crafted from premium suiting fabric, these trousers feature elegant satin side stripes and a matching satin…"
nyoni-chalcedony,Vests,Chalcedony Shawl Waistcoat,vest,waistcoat,charcoal,#353A42 #32353D #393D45,solid,wool,formal,,autumn winter spring,true,,225,,,Nyoni Couture,https://nyonicouture.com/product/accessories/vest/chalcedony/,/collection/nyoni-chalcedony.webp,"A charcoal shawl waistcoat, plain: the one that goes under every jacket in the capsule without asking a question."
nyoni-kenzie,Vests,Kenzie Waistcoat,vest,waistcoat,navy,#242C42 #21293D #1D253B,solid,wool,formal,,autumn winter spring,true,,186,,,Nyoni Couture,https://nyonicouture.com/product/accessories/vest/kenzie/,/collection/nyoni-kenzie.webp,"A navy wool waistcoat for separates: over the blue shirt with grey or taupe trousers, or under a blazer when the evening turns formal."
nyoni-yuma,Vests,Yuma Double-Breasted Waistcoat,vest,waistcoat,grey,#6A737C #636B74 #5C636C,solid,wool,formal,,autumn winter spring,true,,225,,,Nyoni Couture,https://nyonicouture.com/product/accessories/vest/yuma/,/collection/nyoni-yuma.webp,"Mid grey, double breasted, shawl collar. A waistcoat with a front of its own, worn best where the jacket comes off."
nyoni-hematite,Vests,Hematite Windowpane Waistcoat,vest,waistcoat,blue,#546494 #5B6B9C #3D4A6C,windowpane,wool,formal,,autumn winter spring,true,,225,,,Nyoni Couture,https://nyonicouture.com/product/accessories/vest/hematite/,/collection/nyoni-hematite.webp,Blue with a fine windowpane. It lifts a plain charcoal or navy suit without competing with a patterned jacket.
nyoni-gabbro,Vests,Gabbro Marbled Waistcoat,vest,waistcoat,black,#2A2D33 #333C44 #3B434C,marbled,wool,formal,,autumn winter spring,true,,225,,,Nyoni Couture,https://nyonicouture.com/product/accessories/vest/gabbro/,/collection/nyoni-gabbro.webp,"A marbled black and ivory waistcoat. Black tie, and nothing else: it wants the plainest jacket in the room."
nyoni-antwerp-wing-tip,Boots,Antwerp Wing-Tip Boot,shoes,boots,brown,#633B34 #6B423B #44241A,solid,calfskin,smart-casual,,autumn winter spring,true,9 | 13,495,,,Nyoni Couture,https://nyonicouture.com/product/boots/antwerp-wing-tip/,/collection/nyoni-antwerp-wing-tip.webp,"Cognac calf with a buttoned side and a wing-tip toe, made in Italy on a leather sole. The boot for brown and taupe tailoring."
nyoni-roma-wing-tip,Boots,Roma Wing-Tip Boot,shoes,boots,black,#141414 #1C1C1B #232324,solid,suede,smart-casual,,autumn winter spring,true,8,495,,,Nyoni Couture,https://nyonicouture.com/product/boots/roma-wing-tip/,/collection/nyoni-roma-wing-tip.webp,"Black calf and suede, laced, on a leather sole, made in Italy. The most forgiving boot here with a checked or textured suit."
nyoni-monaco-cap-toe,Boots,Monaco Cap-Toe Boot,shoes,boots,black,#1B1B1C #232324 #333334,solid,calfskin,smart-casual,,autumn winter spring,true,15 | 16,550,,,Nyoni Couture,https://nyonicouture.com/product/boots/monaco-cap-toe/,/collection/nyoni-monaco-cap-toe.webp,"Black calf with a cap toe and a buckled strap, made in Italy on a leather sole. It carries navy and charcoal equally."
nyoni-chelsea-ii,Boots,Chelsea II Boot,shoes,boots,black,#232425 #2C2B2C #333334,solid,calfskin,smart-casual,,autumn winter spring,true,8 | 9 | 11 | 12,495,,,Nyoni Couture,https://nyonicouture.com/product/boots/chelsea-ii/,/collection/nyoni-chelsea-ii.webp,"A black calf Chelsea with a brogued wing-tip, made in Italy. Pulls on, and goes under a suit trouser without a word."
nyoni-hamburg-wing-tip,Boots,Hamburg Wing-Tip Boot,shoes,boots,black,#141415 #1B1B1C #232424,solid,calfskin,smart-casual,,autumn winter spring,true,8 | 9 | 10 | 11 | 12 | 13,495,,,Nyoni Couture,https://nyonicouture.com/product/boots/hamburg-wing-tip/,/collection/nyoni-hamburg-wing-tip.webp,"Black calf, side zip, wing-tip toe, made in Italy on a leather sole. The boot for winter tailoring and a long evening."
nyoni-silvano-2,Pocket squares,Silvano Pocket Square,accessory,pocket square,navy,#1B2B4C #142344 #14244B,floral,silk,formal,,spring summer autumn winter,true,,69,,,Nyoni Couture,https://nyonicouture.com/product/accessories/pocket-squares/silvano-2/,/collection/nyoni-silvano-2.webp,"Navy silk with a fine ivory foliate print, made in Italy. The square for a navy or charcoal suit when the occasion is not about the square."
nyoni-paisley,Pocket squares,Paisley Pocket Square,accessory,pocket square,black,#23252A #26292D #2A2B2E,paisley,silk,formal,,spring summer autumn winter,true,,69,,,Nyoni Couture,https://nyonicouture.com/product/accessories/pocket-squares/paisley/,/collection/nyoni-paisley.webp,"Black silk with a small ivory paisley, made in Italy. It finishes black tie and charcoal tailoring without raising its voice."
nyoni-belagio-2,Pocket squares,Belagio Pocket Square,accessory,pocket square,teal,#0B4B54 #1C323C #1B2D39,paisley,silk,formal,,spring summer autumn winter,true,,69,,,Nyoni Couture,https://nyonicouture.com/product/accessories/pocket-squares/belagio-2/,/collection/nyoni-belagio-2.webp,"Deep teal paisley on near-black silk, made in Italy. Evening, and the one square here that reads as colour from across a room."
nyoni-venez-2,Pocket squares,Venez Pocket Square,accessory,pocket square,brown,#4B2C23 #2B1B1B,baroque,silk,formal,,spring summer autumn winter,true,,69,,,Nyoni Couture,https://nyonicouture.com/product/accessories/pocket-squares/venez-2/,/collection/nyoni-venez-2.webp,"Copper baroque on black silk, made in Italy. It is the answer to the ochre blazer, and to brown tailoring generally."
nyoni-serenata-2,Pocket squares,Serenata Pocket Square,accessory,pocket square,blue,#547C8B #4C7483 #5C8493,stripe,silk,formal,,spring summer autumn winter,true,,69,,,Nyoni Couture,https://nyonicouture.com/product/accessories/pocket-squares/serenata-2/,/collection/nyoni-serenata-2.webp,"Blue and ivory silk stripe, made in Italy. The square for a patterned jacket, where another pattern would be one too many."
nyoni-black-belt-2,Belts,Black Leather Belt,accessory,belt,black,#1B1C1C #242523 #242529,solid,leather,smart-casual,,spring summer autumn winter,true,105cm | 130cm | 135cm,145,,,Nyoni Couture,https://nyonicouture.com/product/uncategorized/black-belt-2/,/collection/nyoni-black-belt-2.webp,"Black calf with a squared buckle. It is the belt the black and charcoal trousers ask for, and the only one the house stocks."
